app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
ColorDonut Sort,ColorDonut_IOS_T1_CPA_SWK,ODE1,2025-08-31,2,0.0,0.08,0.0433,0.5412,0.5412,0.5412,0.5412,0.5412,0.5412,0.5412,0.5412,0.5412,0.5412,0.5412,0.5412
ColorDonut Sort,ColorDonut_IOS_T1_CPA_SWK,ODEz,2025-07-14,2,0.0,0.24,1.4505,5.8142,8.7558,11.4308,11.4308,11.4308,11.4308,11.4308,11.4308,11.4308,11.4308,11.4308,11.4308
ColorDonut Sort,ColorDonut_IOS_T1_CPA_SWK,ODEz,2025-07-28,2,0.0,0.24,0.1524,0.635,1.1746,1.1746,1.1746,1.1746,1.1746,1.1746,1.1746,1.1746,1.1746,1.1746,1.1746
ColorDonut Sort,ColorDonut_IOS_T1_CPA_SWK,ODEz,2025-08-06,2,0.0,0.24,0.4156,1.6729,1.6729,1.6729,1.6729,1.6729,1.6729,1.6729,1.6729,1.6729,1.6729,1.6729,1.6729
ColorDonut Sort,ColorDonut_IOS_T1_CPA_SWK,ODEz,2025-08-14,2,0.0,0.16,0.0971,0.6069,0.7019,0.7788,0.7788,0.7788,0.7788,0.8356,0.8988,0.8988,0.8988,0.8988,0.8988
ColorDonut Sort,ColorDonut_IOS_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-03,2,0.0,0.0,0.0438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorDonut Sort,ColorDonut_IOS_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-05,2,0.0,0.04,0.0198,0.495,0.495,0.495,1.8225,2.07,2.3275,2.3275,2.3275,2.7275,2.925,3.4275,3.4275
ColorDonut Sort,ColorDonut_IOS_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-10,2,0.0,0.04,0.0279,0.4025,0.635,0.88,0.96,0.9975,1.3675,1.5775,1.8175,2.505,3.0325,3.1025,3.1025
ColorDonut Sort,ColorDonut_IOS_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-03,2,0.0,0.0,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorDonut Sort,ColorDonut_IOS_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-05,2,0.0,0.04,0.0301,0.7525,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56
ColorDonut Sort,ColorDonut_IOS_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-09,2,0.0,0.0,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorDonut Sort,ColorDonut_IOS_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-17,2,0.0,0.0,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorDonut Sort,ColorDonut_IOS_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-21,2,0.0,0.05,0.0076,0.152,0.152,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506
ColorDonut Sort,ColorDonut_IOS_T2_CPA_SWK,ODEz,2025-07-27,2,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorDonut Sort,ColorDonut_IOS_US_CPA_SWK,Nzcx,2025-07-11,2,0.0,0.0,0.0355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorDonut Sort,ColorDonut_IOS_US_CPA_SWK,Nzcx,2025-07-12,2,0.0,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorDonut Sort,ColorDonut_IOS_US_CPA_SWK,Nzcx,2025-07-18,2,0.0,0.0,0.1363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorDonut Sort,ColorDonut_IOS_US_CPA_SWK,Nzcy,2025-07-11,2,0.0,0.16,0.2037,1.2731,1.2731,1.2731,1.2731,1.2731,1.2825,1.2825,1.2825,1.2825,1.2825,1.2825,1.2825
ColorDonut Sort,ColorDonut_IOS_US_CPA_SWK,Nzcy,2025-07-12,2,0.0,0.0,0.1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorDonut Sort,ColorDonut_IOS_US_CPA_SWK,Nzcy,2025-07-14,2,0.0,0.32,0.1934,0.6044,0.6044,0.6044,0.6044,0.6044,0.6044,0.6044,0.6044,0.6044,0.6072,0.6072,0.6072
ColorDonut Sort,ColorDonut_IOS_US_CPA_SWK,ODE1,2025-07-23,2,0.0,0.32,0.2041,0.6378,0.6378,0.6378,0.6378,0.6378,0.6378,0.6378,0.6378,0.6378,0.6378,0.6378,0.6378
ColorDonut Sort,ColorDonut_IOS_US_CPA_SWK,ODEz,2025-07-19,2,0.0,0.16,0.1158,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238,0.7238
ColorJelly Sort,ColorJelly_AND_KR_CPA_SAS,Z0xOSkVKZm1hS0lm,2025-07-14,2,0.0,0.0,1.9166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_KR_CPA_SAS,Z0xOSkVKZm1hS0lm,2025-07-15,2,0.0,5.89,3.5618,0.3696,0.3696,0.3696,0.3696,0.3696,0.3696,0.3696,0.3696,0.3696,0.3696,0.3696,0.3696
ColorJelly Sort,ColorJelly_AND_KR_CPA_SAS,Z0xOSkVKZm1hS0lm,2025-07-21,2,0.0,0.29,2.4441,0.9517,1.1562,1.1562,1.1562,1.1562,1.1562,1.1624,1.1624,1.1624,1.1762,1.1762,1.1762
ColorJelly Sort,ColorJelly_AND_KR_CPA_SAS,Z0xOSkVKZm1hS0lm,2025-07-23,2,0.0,2.06,1.0608,0.1928,0.3412,0.3412,0.3533,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539
ColorJelly Sort,ColorJelly_AND_KR_CPA_SAS,Z0xOSkVKZm1hS0lm,2025-08-12,2,0.0,0.0,0.8297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_KR_CPA_SAS,Z0xOSkVKZm1hS0lm,2025-08-17,2,0.0,0.29,2.3609,7.5221,11.1838,12.1745,13.2355,13.2355,16.1962,18.72,18.72,19.6162,19.6162,19.6162,19.6162
ColorJelly Sort,ColorJelly_AND_KR_CPA_SBL,OXBJQnZVZ0Rjclhn,2025-08-28,2,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-07,2,0.0,0.0,0.1363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-07-07,2,0.0,0.0,0.1206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-07-08,2,0.0,0.0,0.1317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-07-16,2,0.0,0.3,0.3818,0.9563,0.9563,0.9563,0.9563,0.9563,0.9563,0.9563,0.9563,0.9583,0.9583,0.9583,0.9583
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-07-20,2,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-07-26,2,0.0,0.0,0.3057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-07-30,2,0.0,0.0,0.0636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-07-31,2,0.0,0.15,0.104,0.6407,0.6407,0.6407,0.6407,0.6407,0.6407,0.6407,0.6407,0.6407,0.6407,1.092,1.092
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-08-05,2,0.0,0.35,0.0915,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-08-09,2,0.0,0.0,0.0614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-08-14,2,0.0,0.35,0.177,0.1137,0.3257,0.5314,0.5314,0.5314,0.5314,0.5314,0.5314,0.5314,0.5314,0.5314,0.5314
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-08-16,2,0.0,0.0,0.2514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-08-17,2,0.0,0.0,0.2572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-08-20,2,0.0,0.15,0.1662,0.5487,0.5487,0.5487,0.5487,0.5487,0.5487,0.5487,0.5487,0.5487,0.5487,0.5487,0.5487
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,Mjgx,2025-08-21,2,0.0,0.0,0.0783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-07-02,2,0.0,0.65,0.552,0.6045,0.6115,1.0832,1.0832,1.0832,1.4071,1.8198,1.9814,2.4151,2.8277,3.3051,3.3051
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-07-04,2,0.0,0.0,0.6457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-07-06,2,0.0,0.15,0.5675,2.6713,2.6713,2.6713,2.6713,2.6713,2.6713,2.6713,2.6713,2.6713,2.6713,2.6713,2.6713
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-07-07,2,0.0,0.15,0.5215,1.8087,1.8087,1.8087,1.8087,1.8087,1.8087,1.9087,1.9087,4.6487,4.6487,4.6487,4.6487
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-07-08,2,0.0,0.15,0.8795,3.6207,3.6227,3.6227,3.8447,4.502,4.612,4.612,4.612,4.612,4.612,4.7887,4.79
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-07-11,2,0.0,0.5,1.4979,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-11,2,0.0,0.15,0.9596,0.5427,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-15,2,0.0,0.35,0.7215,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-17,2,0.0,0.15,0.9446,2.2947,3.17,4.298,5.372,6.0973,6.0973,6.0973,6.0973,6.0973,6.0973,6.0973,6.0973
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-18,2,0.0,0.0,0.4477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-19,2,0.0,0.15,0.2984,0.6553,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-21,2,0.0,0.5,0.9371,0.4434,0.4434,0.4434,0.4434,0.4434,0.4434,0.4434,0.4434,0.4434,0.4434,0.4434,0.4434
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-22,2,0.0,0.0,0.5089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-24,2,0.0,0.0,0.6488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-26,2,0.0,0.5,1.2093,0.3882,0.3882,0.3882,0.3882,0.3882,0.3882,0.3882,0.3882,0.3882,0.3882,0.3882,0.3882
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-27,2,0.0,0.0,0.8165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-28,2,0.0,0.15,0.5861,0.6533,0.7767,0.8973,0.8973,0.8973,0.8973,0.8973,0.8973,0.8973,0.8973,0.8973,0.8973
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,MTE5,2025-08-29,2,0.0,0.35,0.3503,0.0717,0.0717,0.0717,0.0717,0.0717,0.0717,0.0717,0.0717,0.0717,0.0717,0.0717,0.0717
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NDg1,2025-07-18,2,0.0,4.36,2.4488,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NjEy,2025-07-05,2,0.0,0.0,0.4938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NjEy,2025-07-09,2,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NjQy,2025-07-02,2,0.0,0.15,0.5836,3.8907,3.8907,3.8907,3.8907,3.8907,3.8907,3.8907,3.8907,3.8907,3.8907,3.8907,3.8907
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NjQy,2025-07-13,2,0.0,0.0,0.4922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NjQy,2025-08-01,2,0.0,0.0,0.0811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NjQy,2025-08-08,2,0.0,0.0,0.1537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NjQy,2025-08-11,2,0.0,0.0,0.0646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NjQy,2025-08-23,2,0.0,0.15,0.2004,1.336,1.9067,1.9067,1.9067,1.9067,1.9067,1.9067,1.9067,1.9067,1.9067,1.9067,1.9067
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NjQy,2025-08-24,2,0.0,0.15,0.1898,0.6947,0.8687,0.8687,0.8687,0.8687,0.8687,0.8693,0.8693,0.8693,0.8693,0.8693,0.8693
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTcz,2025-08-20,2,0.0,0.15,0.0454,0.2647,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTI3,2025-07-04,2,0.0,0.3,0.3255,1.0507,1.1843,1.228,1.228,1.228,1.228,1.228,1.228,1.228,1.228,1.228,1.228
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTI3,2025-07-05,2,0.0,0.0,0.1081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTI3,2025-07-16,2,0.0,0.15,0.1383,0.596,0.596,0.596,0.596,0.596,0.824,0.824,0.824,1.0107,1.0167,1.0167,1.0167
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTI3,2025-08-08,2,0.0,0.0,0.1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTI3,2025-08-09,2,0.0,0.0,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTI3,2025-08-10,2,0.0,0.0,0.0491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTI3,2025-08-15,2,0.0,0.15,0.662,3.34,6.168,6.174,6.174,6.174,6.174,6.174,6.174,6.174,6.174,6.174,6.174
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTI3,2025-08-29,2,0.0,0.0,0.1063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTI3,2025-09-01,2,0.0,0.0,0.1213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTIx,2025-08-17,2,0.0,0.15,0.0577,0.2253,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTIx,2025-08-26,2,0.0,0.5,0.8562,0.3794,0.5784,0.5784,0.5784,0.5784,0.5784,0.5784,0.5784,0.5784,0.5784,0.5784,0.5784
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTIx,2025-08-29,2,0.0,0.0,0.0391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,NTk5,2025-07-03,2,0.0,0.0,0.1547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-07-02,2,0.0,0.0,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-07-04,2,0.0,0.0,0.3966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-07-05,2,0.0,0.15,0.2067,1.378,1.378,1.378,1.378,1.378,1.378,1.378,1.378,1.378,1.378,1.378,1.378
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-07-06,2,0.0,0.15,0.0796,0.3713,0.3713,0.3713,0.3713,0.3713,0.3713,0.3713,0.3713,0.3713,0.3713,0.3713,0.3713
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-07-09,2,0.0,0.0,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-07-14,2,0.0,0.0,0.2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-07-18,2,0.0,0.0,0.1371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-07-20,2,0.0,0.0,0.0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-07-29,2,0.0,0.0,0.1834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPA_TBSDK,ODIz,2025-08-11,2,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-07-24,2,0.5,1.0,0.8774,0.2489,0.2489,0.2489,0.2489,0.2992,0.2992,0.2992,0.2992,0.2992,0.2992,0.2992,0.5399
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-07-26,2,0.5,1.0,0.4964,0.4652,0.4652,0.4652,0.4652,0.4652,0.4652,0.4652,0.4652,0.4652,0.4652,0.4652,0.4652
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-04,2,0.5,1.0,0.8899,0.4093,0.4093,0.4093,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-06,2,0.5,1.0,0.2348,0.1499,0.151,0.151,0.151,0.151,0.1536,0.1819,0.1819,0.1819,0.1819,0.1819,0.1819
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-07,2,0.5,1.0,0.6365,0.4459,0.4459,0.4459,0.4459,0.4459,0.4459,0.4459,0.4459,0.4459,0.4459,0.4459,0.4459
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-16,2,0.5,0.5,0.0755,0.151,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-18,2,0.5,1.0,0.074,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-23,2,0.5,1.0,0.2754,0.2151,0.6322,0.9385,1.1665,1.2954,1.5936,1.5936,1.5936,1.6224,1.6224,1.6224,1.6224
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-24,2,0.5,1.0,0.9747,0.2991,0.6548,0.9989,1.1402,1.1402,1.1402,1.1402,1.1736,1.1914,1.1914,1.1914,1.1914
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-27,2,0.5,1.0,1.0552,0.785,1.045,1.0991,1.2081,1.2081,1.2081,1.2081,1.2081,1.2081,1.2081,1.2081,1.2081
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-29,2,0.5,0.5,0.1505,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
ColorJelly Sort,ColorJelly_AND_T1_CPI_PTSDK_SSR,NjYx,2025-08-31,2,0.5,1.0,0.3244,0.2813,0.3138,0.3138,0.3138,0.3138,0.3138,0.3138,0.3138,0.3138,0.3138,0.3138,0.3138
ColorJelly Sort,ColorJelly_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-05,2,0.0,0.0,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-07,2,0.0,0.0,0.3269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-08,2,0.0,0.3,0.5128,0.7167,0.7167,0.8593,0.8747,0.8747,0.8747,1.224,1.224,1.8717,1.8717,1.8717,1.8717
ColorJelly Sort,ColorJelly_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-11,2,0.0,0.0,0.3042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-15,2,0.0,0.0,0.0762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-29,2,0.0,0.0,0.0787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-22,2,0.0,0.0,0.2824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-24,2,0.0,0.0,0.0539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorJelly Sort,ColorJelly_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-08-27,2,0.0,0.13,0.2464,0.9177,0.9177,0.9177,0.9177,0.9177,0.9177,0.9177,0.9177,0.9177,0.9177,0.9177,0.9177
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,MTE5,2025-07-04,2,0.0,0.59,0.4436,0.6159,0.6159,0.6159,0.6159,0.6159,0.6159,0.6159,0.6159,0.6159,0.6159,0.6159,0.6159
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,MTE5,2025-07-19,2,0.0,0.07,0.1056,1.5086,1.5086,1.5086,1.5086,1.5086,1.5086,1.5086,1.5086,1.5086,1.5086,1.5086,1.5086
